"filename", "language", "JSON", "JavaScript", "Log", "CSS", "Markdown", "HTML", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Pages\Home.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Pages\NotFound.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Product\Product.css", "CSS", 0, 0, 0, 83, 0, 0, 0, 0, 2, 20, 105
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Product\Product.js", "JavaScript", 0, 116, 0, 0, 0, 0, 0, 0, 3, 6, 125
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Product\QuantityCounter.css", "CSS", 0, 0, 0, 12, 0, 0, 0, 0, 5, 4, 21
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Product\QuantityCounter.js", "JavaScript", 0, 49, 0, 0, 0, 0, 0, 0, 0, 13, 62
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\index.css", "CSS", 0, 0, 0, 30, 0, 0, 0, 0, 0, 4, 34
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\index.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 0, 4, 6, 34
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\redux\actions\index.js", "JavaScript", 0, 151, 0, 0, 0, 0, 0, 0, 0, 8, 159
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\redux\actions\types.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 1, 20
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\redux\reducers\authReducer.js", "JavaScript", 0, 103, 0, 0, 0, 0, 0, 0, 0, 3, 106
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\redux\reducers\index.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\redux\reducers\productReducer.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\serviceWorker.js", "JavaScript", 0, 98, 0, 0, 0, 0, 0, 0, 31, 13, 142
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\setupProxy.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\controllers\admin.js", "JavaScript", 0, 241, 0, 0, 0, 0, 0, 0, 3, 9, 253
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\controllers\auth.js", "JavaScript", 0, 348, 0, 0, 0, 0, 0, 0, 3, 13, 364
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\controllers\shop.js", "JavaScript", 0, 247, 0, 0, 0, 0, 0, 0, 4, 11, 262
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\index.js", "JavaScript", 0, 66, 0, 0, 0, 0, 0, 0, 4, 7, 77
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\middlewares\delivery.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\middlewares\is-auth.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\middlewares\is-seller.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\models\Cart.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 2, 27
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\models\Order.js", "JavaScript", 0, 40, 0, 0, 0, 0, 0, 0, 0, 3, 43
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\models\Product.js", "JavaScript", 0, 46, 0, 0, 0, 0, 0, 0, 0, 2, 48
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\models\Reviews.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\models\Seller.js", "JavaScript", 0, 59, 0, 0, 0, 0, 0, 0, 0, 4, 63
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\models\User.js", "JavaScript", 0, 48, 0, 0, 0, 0, 0, 0, 0, 2, 50
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\package-lock.json", "JSON", 2331, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2332
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\package.json", "JSON", 32, 0, 0, 0, 0, 0, 0, 0, 0, 1, 33
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\services\passport.js", "JavaScript", 0, 40, 0, 0, 0, 0, 0, 0, 0, 6, 46
"Total", "-", 17114, 11515, 14, 4205, 37, 475, 41, 8954, 2013, 4208, 48576
